Menu_ID,Menu_name,Menu_ingredient,Ingredient_split,Menu_process,Menu_TYPEID
M011,ข้าวขาหมู,"ขาหมู, เห็ดหอม, อบเชย, โป๊ยกั๊ก, พริกหอม, พริกหอม, พริกไทยเม็ด, กระเทียม, รากผักชี, น้ำตาลปี๊บ, ซีอิ๊วขาว, ซอสหอยนางรม, น้ำ","ขาหมู(ขาหลัง) 1 ขา
เห็ดหอมสด 100 กรัม
อบเชย 30 กรัม
โป๊ยกั๊ก 1 ช้อนโต๊ะ
พริกหอม (พริกหอม) 1 ช้อนโต๊ะ
พริกไทยเม็ด 1 ช้อนโต๊ะ
กระเทียม 20 กรัม
รากผักชี 10 กรัม
น้ำตาลปี๊บ 6 ช้อนโต๊ะ
ซีอิ๊วขาว 18 ช้อนโต๊ะ
ซอสหอยนางรม 3 ช้อนโต๊ะ
น้ำ 2,500 ml","-ล้างทำความสะอาดขาหมูให้เรียบร้อย ซับให้แห้ง แบ่งส่วนเนื้อและสวนหนัง
-นำขาหมูลงไปทอดด้วยไฟกลาง ทอดด้านละ 5 นาที ดูให้หนังแห้งตึง
-เตรียมเครื่องทำขาหมู นำกระเทียมไทยโขลกให้พอแตก ตามด้วยพริกไทยเม็ด ทุบให้พอแตก จากนั้นนมาใส่กระปุกตัวกรองต้ม ตามด้วยพริกหอมและอบเชย 
-ตั้งหม้อ นำน้ำตาลทรายขาวปีปไปเคี่ยวคล้ายคาราเมล จากนั้นเติมน้ำเปล่าลงไปและรีบคนให้น้ำตาลทรายขาวไม่ติดกัน
-จากนั้นเติมซอสหอยนางรม ซีอิ๊วขาว จากนั้นใส่รากผักชี อบเชย พอน้ำเดือด ใส่ขาหมูลงไป และตามด้วยกระปุกเครื่องเทศ เห็ดหอม 
-เติมน้ำลงไปให้ท่วมขาหมู เปิดไฟแรงให้น้ำเดือด สักพักแล้วลดไฟให้ลงมาเป็นไฟอ่อน-กลาง ต้มไว้ประมาณ 3-4 ชั่วโมง 
-จากนั้นพักไว้ข้างนอกอย่างน้อย 12 ชั่วโมงหรือ 1 คืน จากนั้นอุ่นอีกครั้งเป็นเวลา 30-60 นาที",MT001
M012,น้ำตกหมู,"สันคอหมู, คอหมูย่าง, น้ำสต๊อก, พริกป่น, ข้าวคั่ว, มะนาว, น้ำปลา, หอมแดง, ต้นหอม, ผักชี, ใบสะระแหน่","เนื้อสันคอหมู หรือคอหมูย่าง ตามชอบ หั่นเป็นชิ้น ๆ 100 กรัม
น้ำสต๊อก 1/4 ถ้วย
พริกป่น ตามชอบ
ข้าวคั่ว 1/2 ช้อนโต๊ะ
น้ำมะนาว 1 ช้อนโต๊ะ
น้ำปลา 1 ช้อนโต๊ะ
หอมแดงซอย  1 ช้อนโต๊ะ
ต้นหอมและผักชีซอย (หรือผักชีฝรั่งซอยตามชอบ)
ใบสะระแหน่
ผักสด เช่น แตงกวา",#NAME?,MT001
M013,ลาบหมู,"หมูสับ, น้ำ, ต้นหอม, ใบสะระแหน่, ผักชีฝรั่ง, หอมแดง, พริกป่น, น้ำปลา, น้ำมะนาว, ข้าวคั่ว, น้ำตาลทรายขาว, พริกแห้ง","หมูสับ 300 กรัม
น้ำเปล่า ½ ถ้วย
ต้นหอมซอย 2 ต้น
ใบสะระแหน่ 2 ต้น
ผักชีฝรั่งซอย 2 ต้น
หอมแดงซอย 3 กลีบ
พริกป่น 2 ช้อนโต๊ะ
น้ำปลา 2 ช้อนโต๊ะ
น้ำมะนาว 2 ช้อนโต๊ะ
ข้าวคั่ว 2 ช้อนโต๊ะ
น้ำตาลทรายขาว ½ ช้อนชา
พริกแห้งทอดสำหรับตกแต่ง ",#NAME?,MT001
M014,ผัดกะเพราหมู,"เนื้อหมู, ใบกะเพรา, กระเทียม, พริกจินดา, พริกแห้งแดงจินดา, น้ำปลา, ซอสปรุงรสฝาเขียว, ซอสหอยนางรม, ซีอิ้วดำหวาน, น้ำตาลทรายขาว
","เนื้อหมู 400 กรัม
ใบกะเพรา 50 กรัม
กระเทียม 2 หัว
พริกจินดา 12 เม็ด
พริกแห้งแดงจินดา 6 เม็ด
น้ำปลา 1 ช้อนโต๊ะ
ซอสปรุงรสฝาเขียว 1 1/2 ช้อนโต๊ะ
ซอสหอยนางรม 3 ช้อนโต๊ะ
ซีอิ้วดำหวาน 1/2 ช้อนโต๊ะ (ไม่ชอบกลิ่นตัดออกได้)
น้ำตาลทรายขาวทราย 1/2 ช้อนโต๊ะ",#NAME?,MT001
M015,ปลากะพงนึ่งมะนาว,"ปลากระพง, น้ำมะนาว, น้ำปลา, น้ำตาลปี๊บ, กระเทียม, พริกขี้หนูสวน, รากผักชี, ผักชี, ผักชีฝรั่ง, ขึ้นฉ่าย, กะหล่ำปลี","ปลากระพง 1 ตัว (700-800 กรัม)
น้ำมะนาว 6 1/2 ช้อนโต๊ะ
น้ำปลา 6 1/2 ช้อนโต๊ะ
น้ำตาลปี๊บ 2/3 ช้อนโต๊ะ
กระเทียม 1 1/2 หัว
พริกขี้หนูสวน 20 เม็ด
รากผักชี 4 ราก
ผักชี 4 ต้น
ผักชีฝรั่ง 2 ต้น
ขึ้นฉ่าย 2 ต้น
กะหล่ำปลี 1/4 หัว","-ซอยกะหล่ำปลีให้เป็นเส้นๆ ไว้รองด้านล่างปลากะพง และนำกะหล่ำปลีอีกส่วนมารองไว้ด้านบนจาน นำปลามาวางด้านบน จากนั้นตั้งน้ำร้อนในซึ้งให้ร้อนเตรียมไว้
-เตรียมน้ำราดโดยการ ซอยผักชี ผักชีฝรั่ง ขึ้นฉ่าย นำไปพักไว้ 
-นำรากผักชีใส่ลงไปในโถปั่น ตามด้วยกระเทียม พริกขี้หนูสวน น้ำมะนาว น้ำปลา น้ำตาลปี๊บ ปั่นพอหยาบ ชิมให้ได้รสตามชอบ
-นำน้ำมาราดบนตัวปลากะพงพอประมาณ เพื่อให้น้ำราดซึมเข้าไปในเนื้อปลาระหว่างนึ่ง 
-นำปลาลงไปนึ่งในซึ้ง จับเวลาประมาณ 10 นาที
-ระหว่างรอนึ่งปลา ให้เตรียมหม้อไฟสำหรับวางปลา นำผักกะหล่ำวางด้านล่างให้ทั่ว ตามด้วยผักชีฝรั่ง ขึ้นฉ่าย พอประมาณ นำปลาที่นึ่งสุกในซึ้งมาวางด้านบน จุดหม้อไฟไว้รอ 
-นำน้ำที่นึ่งปลาราดลงไปบนตัวปลา ตามด้วยน้ำราดที่เหลือทั้งหมด และผักที่ซอยไว้ โรยด้านบนให้สวยงาม พร้อมเสิร์ฟ",MT001
M016,ส้มตำไทย,"มะละกอดิบ, มะเขือเทศ, แคร์รอต, ถั่วฝักยาว, พริกขี้หนู, กระเทียม, กุ้งแห้ง, ถั่วลิสงคั่ว, น้ำมะนาว, น้ำปลา, น้ำตาลปี๊บ","มะละกอดิบ 1 ลูก
มะเขือเทศสีดา 5 ลูก
แคร์รอต (ขูดเป็นเส้นยาว)
ถั่วฝักยาว 2 ลูก
พริกขี้หนูแดง 5 เม็ด
กระเทียมกลีบเล็ก 5 กลีบ
กุ้งแห้ง 1 ช้อนโต๊ะ
ถ้่วลิสงคั่ว 1 ช้อนโต๊ะ
น้ำมะนาว 1 ช้อนโต๊ะ
น้ำปลา 1/2 ช้อนโต๊ะ
น้ำตาลปี๊บ 1/2 ช้อนโต๊ะ",#NAME?,MT001
M017,ผัดผักบุ้งน้ำมันพืชหอย,"ผักบุ้ง, กระเทียม, พริกจินดา, ซอสหอยนางรม, น้ำตาลทรายขาว, ซีอิ๊วขาว, น้ำมันพืชสำหรับผัด, ซีอิ๊วดำ","ผักบุ้งจีน500 กรัม
กระเทียมบุบ4 กลีบ
พริกจินดาแดงหั่นแฉลบ 4 เม็ด
ซอสหอยนางรม 3 ช้อนโต๊ะ
น้ำตาลทรายขาวทราย1/2 ช้อนโต๊ะ
ซีอิ๊วขาว1 ช้อนโต๊ะ
น้ำมันพืชสำหรับผัด3 ช้อนโต๊ะ
ซีอิ๊วดำ1 ช้อนชา
","-ผสมซอสหอยนางรม ซีอิ๊วขาว ซีอิ๊วดำให้เข้ากัน
-นำผักบุ้งหั่นเป็นท่อนพอดีคำใส่กะละมัง ราดด้วยน้ำปรุงรสที่เตรียมไว้และน้ำตาลทรายขาว ตามด้วยพริกจินดาแดงและกระเทียม
-ตั้งกระทะใส่น้ำมันพืช ให้ร้อนจัดจนควันขึ้น จากนั้นเทผักบุ้งที่เตรียมไว้ใส่ลงไป ผัดไฟแรงจนผักบุ้งเปลี่ยนเป็นสีเขียวเข้มหรือผัดประมาณ 2 นาทีค่อยปิดไฟ จัดเสิร์ฟลงจาน",MT001
M018,น้ำพริกกะปิ,"พริกขี้หนู, พริก, กระเทียม, กะปิ, น้ำมะนาว, น้ำปลา, น้ำตาลทรายขาว","พริกขี้หนู 3 เม็ด
พริก 2 เม็ด
กระเทียม 3 กลีบ
กะปิ 1 ช้อนโต๊ะ
น้ำมะนาว 3 ช้อนโต๊ะ
น้ำปลา 1 ช้อนโต๊ะ
น้ำตาลทรายขาวทราย 2 ช้อนโต๊ะ",#NAME?,MT001
M019,ผัดซีอิ๊วหมู,"เส้นใหญ่, เนื้อหมู, ไข่ไก่, คะน้า, ซีอิ๊วขาว, ซอสหอยนางรม, พริกไทย, น้ำตาลทรายขาว, เกลือ, ซีอิ๊วดำ","เส้นใหญ่ 120 กรัม
หมูหมัก 100 กรัม
ไข่ไก่ 1 ฟอง
คะน้า 60 กรัม
ซีอิ๊วขาว 1 ช้อนชา
ซอสหอยนางรม 2 ช้อนโต๊ะ
พริกไทย ½ ช้อนชา
น้ำตาลทรายขาว 1 ช้อนชา
เกลือ ½ ช้อนชา
ซีอิ๊วดำ ½ ช้อนชา",#NAME?,MT001
M020,ผัดไทยกุ้งสด,"กุ้งสด, เต้าหู้แข็ง, ไข่ไก่, ใบกุยช่าย, หอมแดง, กุ้งแห้ง, ไชโป๊วเค็ม, เส้นจันท์, ถั่วลิสงคั่ว, ถั่วงอก, มะนาว, พริกป่น, น้ำมันพืชสำหรับผัด, ผงชูรส, น้ำตาลปี๊บ, น้ำมะขามเปียก, น้ำ","กุ้งสด 5 ตัว
เต้าหู้แข็ง 1/4 ก้อน
ไข่ไก่ 1 ฟอง
ใบกุยช่าย 1 หยิบมือ
หอมแดงซอย 4 หัว
กุ้งแห้ง หรือกุ้งฝอย 1 ช้อนชา
ไชโป๊วเค็ม 1 ช้อนโต๊ะ
เส้นจันท์ 100 กรัม
ถั่วลิสงคั่ว 1 ช้อนโต๊ะ
ถั่วงอก 1 หยิบมือ
มะนาว 1 ลูก
พริกป่น 1 ช้อนชา
น้ำมันพืชสำหรับผัด 2 ช้อนโต๊ะ
ผงชูรส 1/4 ช้อนชา
น้ำตาลปี๊บ 25 กรัม
น้ำมะขามเปียก 30 กรัม
น้ำเปล่า 20 กรัม
น้ำปลา 20 กรัม","-เคี่ยวน้ำตาลปี๊บ น้ำมะขามเปียก น้ำปลา น้ำเปล่า และผงชูรส จนละลาย เป็นซอสเข้มข้น ประมาณ 5 นาที ปิดเตา พักเตรียมไว้
-นำเส้นจันท์ ไปแช่น้ำ ทิ้งไว้ประมาณ 15 นาที เตรียมไว้
-ตั้งกระทะให้ร้อน ใส่น้ำมันพืชเล็กน้อย พอน้ำมันพืชร้อน ใส่กุ้งสดลงไปย่าง จนกุ้งเริ่มสุก ตักขึ้นใส่จาน เตรียมไว้
คำแนะนำ: การย่างกุ้ง ให้บี้หัวกุ้งด้วย จะช่วยให้มันของกุ้งออกมา จะความกลมกล่อมอร่อยยิ่งขึ้น
-ใช้กระทะใบเดิมที่ย่างกุ้ง ผัดเต้าหู้ หอมแดง ให้เข้ากัน และใส่เส้นจันท์เข้ากันเบา ๆ แล้วใช้ตะหลิวเขี่ยเส้นไปไว้ข้างกระทะ จากนั้น ตอกไข่ไก่ลงไป ผัดให้เข้ากัน
-จากนั้น ใส่น้ำซอสผัดไทยผัดให้เข้ากันจนเส้นเหนียวนุ่มดี และใส่กุ้งแห้ง หรือกุ้งฝอย ไชโป๊วเค็ม กุ้งย่าง และใส่ถั่วงอก ใบกุยช่าย ผัดให้เข้ากัน ปิดเตา
-ตักผัดไทยใส่จาน วางกุ้งตกแต่งไว้ด้านบน เสิร์ฟพร้อมผัดสด ถั่วลิสงคั่วบด พริกป่น และมะนาว พร้อมทาน",MT001
